@relation mermer4ysciHist-lbp

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' x0' numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class ' {' rossolevanto',' onyx',' keivan',' black'}

@data
62.15,29.8,1.74,9.4,0.01,-6.71,0.53,0.46,0.81,0.71,0.0724,0.0587,0.0214,0.0117,0.0081,0.0071,0.007,0.0072,0.0085,0.0103,0.0079,0.0084,0.0078,0.0111,0.0189,0.0588,0.088,0.5855,' rossolevanto'
42.85,38.24,2.52,10.58,0.02,-6.52,0.48,0.52,0.87,0.84,0.0653,0.0571,0.0188,0.0099,0.0092,0.0093,0.0093,0.0103,0.0113,0.0098,0.0066,0.0085,0.007,0.0099,0.0152,0.0662,0.096,0.5795,' rossolevanto'
68.6,52.03,1.06,3.67,0.01,-7.38,0.72,0.35,0.81,0.87,0.0675,0.0569,0.0151,0.0088,0.0086,0.0091,0.0108,0.012,0.0135,0.0144,0.0102,0.0109,0.0098,0.0112,0.0182,0.0633,0.0915,0.5672,' rossolevanto'
67.61,29.39,2.89,12.97,0.02,-6.13,0.38,0.58,0.86,0.8,0.0688,0.0559,0.0298,0.0157,0.0114,0.0092,0.0083,0.009,0.0092,0.0106,0.0062,0.0075,0.0064,0.0126,0.0223,0.0582,0.0854,0.5726,' rossolevanto'
29.63,45.72,2.63,10.18,0.03,-6.08,0.87,0.69,0.85,0.76,0.0664,0.0576,0.0197,0.0105,0.0081,0.0075,0.0071,0.0068,0.0074,0.0074,0.0055,0.0062,0.0061,0.0094,0.0164,0.0626,0.1436,0.5508,' rossolevanto'
54.81,48.82,1.75,5.91,0.01,-6.99,2.54,0.35,0.64,0.48,0.082,0.0595,0.0166,0.0078,0.0051,0.0038,0.0035,0.0034,0.004,0.0063,0.0047,0.0065,0.0061,0.009,0.015,0.0749,0.1138,0.5772,' rossolevanto'
55.58,15.05,1.9,8.79,0.03,-5.66,0.3,0.71,0.88,0.42,0.0802,0.0672,0.0177,0.0083,0.0049,0.0035,0.0026,0.0026,0.0036,0.006,0.0018,0.0038,0.0026,0.0067,0.0125,0.0713,0.1034,0.6005,' rossolevanto'
81.14,48.73,1.67,5.12,0.01,-7,0.94,0.43,0.76,0.8,0.0696,0.0605,0.0244,0.0122,0.009,0.0087,0.0082,0.0086,0.009,0.0082,0.0061,0.0109,0.0062,0.0101,0.0159,0.0621,0.0915,0.5779,' rossolevanto'
29.62,45.69,2.63,10.18,0.03,-6.08,0.85,0.69,0.85,0.77,0.0671,0.0556,0.0198,0.0099,0.0076,0.0071,0.008,0.0072,0.0075,0.0085,0.0056,0.0069,0.006,0.0091,0.0159,0.0612,0.1463,0.5496,' rossolevanto'
68.96,52.18,1.05,3.66,0.01,-7.39,0.73,0.35,0.81,0.87,0.0682,0.0572,0.0147,0.0092,0.0087,0.0091,0.0106,0.0118,0.0139,0.0145,0.0115,0.0112,0.0095,0.0117,0.0169,0.0625,0.0914,0.5666,' rossolevanto'
65.37,36.87,1.61,6.72,0.01,-6.89,0.61,0.38,0.8,0.79,0.0706,0.059,0.0257,0.0118,0.0086,0.0075,0.0064,0.0065,0.0076,0.0088,0.0058,0.0075,0.0066,0.0105,0.0167,0.0624,0.0906,0.5867,' rossolevanto'
38.41,48.18,2.15,7.56,0.02,-6.58,0.87,0.6,0.81,0.8,0.0689,0.0533,0.0255,0.0154,0.0112,0.0099,0.0096,0.0101,0.0119,0.0132,0.0103,0.0106,0.0088,0.011,0.0179,0.0613,0.1116,0.5387,' rossolevanto'
158.77,14.73,-0.91,4.36,0.02,-5.83,0.13,0.61,0.94,0.8,0.0611,0.0453,0.0316,0.0255,0.023,0.0238,0.0239,0.0271,0.0272,0.0274,0.0218,0.02,0.0185,0.0215,0.03,0.0441,0.0586,0.4687,' onyx'
170.62,11.41,-1.28,5.59,0.03,-5.39,0.05,0.84,0.97,0.82,0.0555,0.0426,0.0292,0.0249,0.0234,0.0252,0.0283,0.0335,0.036,0.0368,0.0263,0.0247,0.0237,0.0258,0.0308,0.039,0.0552,0.438,' onyx'
131.34,16.34,-0.51,3.89,0.02,-6.04,0.22,0.57,0.89,0.67,0.0745,0.0544,0.0255,0.0163,0.0136,0.0125,0.0139,0.0156,0.0174,0.02,0.0152,0.0154,0.0143,0.0197,0.0276,0.0492,0.0633,0.5305,' onyx'
162.74,13.76,-0.65,3.18,0.02,-5.73,0.07,0.68,0.96,0.86,0.0565,0.043,0.0283,0.0229,0.0231,0.0254,0.0267,0.0276,0.0296,0.0305,0.0226,0.0203,0.0192,0.0227,0.0301,0.0427,0.0589,0.4691,' onyx'
136.04,23.72,-1.03,4.48,0.01,-6.44,0.16,0.55,0.92,0.87,0.0609,0.0464,0.0268,0.0207,0.0184,0.0201,0.0243,0.0324,0.0366,0.0341,0.0228,0.0186,0.0173,0.0196,0.026,0.0452,0.0557,0.4732,' onyx'
151.69,13.87,-0.5,3.32,0.02,-5.79,0.07,0.67,0.96,0.88,0.0474,0.039,0.0276,0.022,0.0214,0.0249,0.0345,0.0493,0.058,0.0509,0.0337,0.0265,0.0236,0.0243,0.028,0.0359,0.0524,0.3998,' onyx'
158.44,10.07,-1.12,4.15,0.03,-5.17,0.09,0.65,0.96,0.83,0.0531,0.0445,0.0244,0.0184,0.0175,0.0201,0.0231,0.0301,0.0314,0.0333,0.025,0.0225,0.0181,0.0223,0.0293,0.0438,0.0592,0.483,' onyx'
164.71,11.77,-1.37,6.73,0.03,-5.44,0.09,0.73,0.96,0.81,0.0576,0.0492,0.0256,0.0175,0.0151,0.018,0.0219,0.0295,0.0358,0.0359,0.0245,0.02,0.0177,0.0227,0.0313,0.0431,0.0611,0.4724,' onyx'
162.64,7.27,-0.84,4.75,0.04,-4.84,0.09,0.72,0.96,0.79,0.0535,0.0456,0.0289,0.0235,0.0197,0.0204,0.0227,0.0254,0.0276,0.0301,0.0241,0.0225,0.0232,0.027,0.0319,0.044,0.0629,0.4661,' onyx'
165.7,15.76,-1.28,5.59,0.02,-5.84,0.1,0.71,0.95,0.83,0.0576,0.0487,0.0268,0.0198,0.0161,0.017,0.0213,0.0317,0.0431,0.0391,0.0241,0.0197,0.0174,0.0204,0.03,0.0441,0.0577,0.4643,' onyx'
154.93,9.07,-0.73,2.86,0.04,-5.06,0.08,0.67,0.96,0.84,0.0558,0.046,0.0247,0.0197,0.0172,0.0191,0.0214,0.025,0.0279,0.0308,0.0242,0.0229,0.02,0.0234,0.0313,0.0446,0.0594,0.4858,' onyx'
