@relation mix4sci-lbp

@attribute x0 numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class' {' rossolevanto',' onyx',' keivan',' black'}

@data
0.0612,0.0543,0.0284,0.0176,0.015,0.015,0.0165,0.0211,0.0256,0.0246,0.0155,0.0157,0.0133,0.0166,0.0241,0.0516,0.0774,0.5054,' rossolevanto'
0.0563,0.0499,0.0338,0.0195,0.0166,0.0177,0.0196,0.0285,0.0375,0.0309,0.0193,0.0174,0.016,0.0196,0.0285,0.0472,0.071,0.4698,' rossolevanto'
0.0782,0.0611,0.0208,0.0126,0.0085,0.0076,0.008,0.0091,0.0102,0.0113,0.0066,0.0085,0.0061,0.0104,0.015,0.0646,0.0951,0.5653,' rossolevanto'
0.0801,0.0579,0.0219,0.0131,0.0099,0.0089,0.0086,0.0098,0.0098,0.0109,0.0074,0.0084,0.0067,0.0107,0.0163,0.0614,0.0949,0.5623,' rossolevanto'
0.0777,0.0606,0.022,0.012,0.0094,0.0084,0.0071,0.0068,0.0072,0.0092,0.0064,0.0074,0.006,0.0093,0.0147,0.0651,0.0998,0.57,' rossolevanto'
0.0793,0.0583,0.0224,0.0121,0.008,0.0068,0.0072,0.0085,0.01,0.0112,0.007,0.0079,0.0068,0.0105,0.0166,0.0617,0.0938,0.5711,' rossolevanto'
0.0539,0.0534,0.0212,0.0133,0.012,0.015,0.0161,0.0184,0.0214,0.0192,0.0144,0.0135,0.0114,0.0148,0.0182,0.0562,0.0829,0.5436,' rossolevanto'
0.0662,0.0598,0.0227,0.0129,0.0106,0.0109,0.0115,0.0147,0.0165,0.0169,0.0109,0.012,0.0098,0.0138,0.0191,0.057,0.0832,0.5508,' rossolevanto'
0.0687,0.0598,0.0257,0.0144,0.0112,0.01,0.0112,0.0113,0.0134,0.014,0.0101,0.0123,0.0099,0.0122,0.0194,0.058,0.0819,0.5555,' rossolevanto'
0.0688,0.0547,0.0306,0.0189,0.0139,0.0122,0.0131,0.0141,0.0181,0.0177,0.0128,0.0154,0.0137,0.0172,0.0229,0.0515,0.0801,0.5235,' rossolevanto'
0.0682,0.0596,0.0249,0.0138,0.0103,0.01,0.0099,0.0122,0.0136,0.0137,0.0101,0.0114,0.0101,0.0145,0.0211,0.0577,0.0845,0.5535,' rossolevanto'
0.0554,0.0458,0.0295,0.0177,0.0151,0.0159,0.0198,0.0286,0.0411,0.0302,0.0186,0.0165,0.0144,0.0178,0.0258,0.0487,0.0733,0.485,' rossolevanto'
0.0828,0.062,0.018,0.0094,0.0057,0.005,0.0051,0.0056,0.0063,0.0091,0.0073,0.0101,0.0089,0.0127,0.0191,0.0648,0.0975,0.5698,' rossolevanto'
0.0531,0.0502,0.024,0.0138,0.0119,0.0148,0.0173,0.025,0.0343,0.0258,0.0153,0.0144,0.0126,0.0156,0.0222,0.0512,0.0785,0.519,' rossolevanto'
0.0595,0.0498,0.0317,0.0202,0.0171,0.0174,0.0178,0.023,0.0298,0.0263,0.0165,0.0157,0.0144,0.0177,0.0252,0.0503,0.0751,0.4914,' rossolevanto'
0.0543,0.0453,0.0315,0.0206,0.0172,0.0181,0.0209,0.0288,0.0426,0.0333,0.0185,0.0171,0.0149,0.0188,0.0256,0.0478,0.0719,0.4719,' rossolevanto'
0.0581,0.0505,0.0298,0.0165,0.0133,0.0145,0.0163,0.0222,0.0294,0.0248,0.0148,0.0145,0.0125,0.0164,0.0263,0.0527,0.0788,0.5079,' rossolevanto'
0.0553,0.0457,0.0326,0.0219,0.0185,0.0185,0.0219,0.0322,0.0463,0.036,0.0206,0.0167,0.0159,0.0188,0.0246,0.0452,0.0691,0.4592,' rossolevanto'
0.0598,0.0516,0.0301,0.0168,0.0131,0.0147,0.0163,0.0253,0.0339,0.0289,0.0157,0.0142,0.0127,0.0166,0.0235,0.0513,0.0772,0.4972,' rossolevanto'
0.0804,0.0596,0.0171,0.0097,0.0064,0.0053,0.0053,0.0051,0.0057,0.0082,0.0053,0.0067,0.0049,0.0089,0.0139,0.0709,0.1067,0.5791,' rossolevanto'
0.0665,0.0544,0.0209,0.0121,0.0105,0.0109,0.0122,0.0127,0.0141,0.0151,0.0126,0.012,0.0108,0.0136,0.02,0.0637,0.107,0.5301,' rossolevanto'
0.0663,0.0568,0.0204,0.0113,0.0087,0.0096,0.0106,0.0108,0.0111,0.0135,0.0099,0.0107,0.0106,0.0131,0.0197,0.0624,0.1172,0.5366,' rossolevanto'
0.0627,0.054,0.0226,0.0138,0.0112,0.0115,0.0114,0.0124,0.0122,0.0142,0.011,0.0114,0.0105,0.0131,0.0188,0.0604,0.1193,0.5286,' rossolevanto'
0.0726,0.0587,0.0221,0.0114,0.008,0.0074,0.0072,0.0075,0.0085,0.0107,0.0076,0.0089,0.0079,0.0121,0.0178,0.0619,0.0883,0.5803,' rossolevanto'
0.0672,0.056,0.0197,0.0111,0.0098,0.0093,0.0085,0.0093,0.0099,0.0107,0.0064,0.0073,0.0067,0.0101,0.016,0.0669,0.099,0.575,' rossolevanto'
0.064,0.0537,0.0214,0.0113,0.0101,0.0118,0.0115,0.0123,0.0155,0.0161,0.0116,0.0112,0.0107,0.0137,0.0188,0.0584,0.1194,0.5277,' rossolevanto'
0.0648,0.0519,0.0192,0.0118,0.0097,0.0104,0.0106,0.0117,0.0136,0.0144,0.0105,0.0104,0.0092,0.0116,0.0189,0.0609,0.1383,0.5211,' rossolevanto'
0.0724,0.0587,0.0214,0.0117,0.0081,0.0071,0.007,0.0072,0.0085,0.0103,0.0079,0.0084,0.0078,0.0111,0.0189,0.0588,0.088,0.5855,' rossolevanto'
0.0653,0.0571,0.0188,0.0099,0.0092,0.0093,0.0093,0.0103,0.0113,0.0098,0.0066,0.0085,0.007,0.0099,0.0152,0.0662,0.096,0.5795,' rossolevanto'
0.0675,0.0569,0.0151,0.0088,0.0086,0.0091,0.0108,0.012,0.0135,0.0144,0.0102,0.0109,0.0098,0.0112,0.0182,0.0633,0.0915,0.5672,' rossolevanto'
0.0688,0.0559,0.0298,0.0157,0.0114,0.0092,0.0083,0.009,0.0092,0.0106,0.0062,0.0075,0.0064,0.0126,0.0223,0.0582,0.0854,0.5726,' rossolevanto'
0.0664,0.0576,0.0197,0.0105,0.0081,0.0075,0.0071,0.0068,0.0074,0.0074,0.0055,0.0062,0.0061,0.0094,0.0164,0.0626,0.1436,0.5508,' rossolevanto'
0.082,0.0595,0.0166,0.0078,0.0051,0.0038,0.0035,0.0034,0.004,0.0063,0.0047,0.0065,0.0061,0.009,0.015,0.0749,0.1138,0.5772,' rossolevanto'
0.0802,0.0672,0.0177,0.0083,0.0049,0.0035,0.0026,0.0026,0.0036,0.006,0.0018,0.0038,0.0026,0.0067,0.0125,0.0713,0.1034,0.6005,' rossolevanto'
0.0696,0.0605,0.0244,0.0122,0.009,0.0087,0.0082,0.0086,0.009,0.0082,0.0061,0.0109,0.0062,0.0101,0.0159,0.0621,0.0915,0.5779,' rossolevanto'
0.0671,0.0556,0.0198,0.0099,0.0076,0.0071,0.008,0.0072,0.0075,0.0085,0.0056,0.0069,0.006,0.0091,0.0159,0.0612,0.1463,0.5496,' rossolevanto'
0.0682,0.0572,0.0147,0.0092,0.0087,0.0091,0.0106,0.0118,0.0139,0.0145,0.0115,0.0112,0.0095,0.0117,0.0169,0.0625,0.0914,0.5666,' rossolevanto'
0.0706,0.059,0.0257,0.0118,0.0086,0.0075,0.0064,0.0065,0.0076,0.0088,0.0058,0.0075,0.0066,0.0105,0.0167,0.0624,0.0906,0.5867,' rossolevanto'
0.0689,0.0533,0.0255,0.0154,0.0112,0.0099,0.0096,0.0101,0.0119,0.0132,0.0103,0.0106,0.0088,0.011,0.0179,0.0613,0.1116,0.5387,' rossolevanto'
0.0611,0.0453,0.0316,0.0255,0.023,0.0238,0.0239,0.0271,0.0272,0.0274,0.0218,0.02,0.0185,0.0215,0.03,0.0441,0.0586,0.4687,' onyx'
0.0555,0.0426,0.0292,0.0249,0.0234,0.0252,0.0283,0.0335,0.036,0.0368,0.0263,0.0247,0.0237,0.0258,0.0308,0.039,0.0552,0.438,' onyx'
0.0745,0.0544,0.0255,0.0163,0.0136,0.0125,0.0139,0.0156,0.0174,0.02,0.0152,0.0154,0.0143,0.0197,0.0276,0.0492,0.0633,0.5305,' onyx'
0.0565,0.043,0.0283,0.0229,0.0231,0.0254,0.0267,0.0276,0.0296,0.0305,0.0226,0.0203,0.0192,0.0227,0.0301,0.0427,0.0589,0.4691,' onyx'
0.0609,0.0464,0.0268,0.0207,0.0184,0.0201,0.0243,0.0324,0.0366,0.0341,0.0228,0.0186,0.0173,0.0196,0.026,0.0452,0.0557,0.4732,' onyx'
0.0474,0.039,0.0276,0.022,0.0214,0.0249,0.0345,0.0493,0.058,0.0509,0.0337,0.0265,0.0236,0.0243,0.028,0.0359,0.0524,0.3998,' onyx'
0.0531,0.0445,0.0244,0.0184,0.0175,0.0201,0.0231,0.0301,0.0314,0.0333,0.025,0.0225,0.0181,0.0223,0.0293,0.0438,0.0592,0.483,' onyx'
0.0576,0.0492,0.0256,0.0175,0.0151,0.018,0.0219,0.0295,0.0358,0.0359,0.0245,0.02,0.0177,0.0227,0.0313,0.0431,0.0611,0.4724,' onyx'
0.0535,0.0456,0.0289,0.0235,0.0197,0.0204,0.0227,0.0254,0.0276,0.0301,0.0241,0.0225,0.0232,0.027,0.0319,0.044,0.0629,0.4661,' onyx'
0.0576,0.0487,0.0268,0.0198,0.0161,0.017,0.0213,0.0317,0.0431,0.0391,0.0241,0.0197,0.0174,0.0204,0.03,0.0441,0.0577,0.4643,' onyx'
0.0558,0.046,0.0247,0.0197,0.0172,0.0191,0.0214,0.025,0.0279,0.0308,0.0242,0.0229,0.02,0.0234,0.0313,0.0446,0.0594,0.4858,' onyx'
0.0632,0.0527,0.0269,0.0177,0.015,0.0158,0.0177,0.0233,0.0294,0.0282,0.0173,0.0168,0.0154,0.0208,0.0283,0.0495,0.0592,0.5016,' onyx'
0.0724,0.0493,0.0288,0.02,0.0156,0.0148,0.0147,0.0151,0.016,0.0178,0.0146,0.015,0.015,0.0193,0.027,0.0492,0.0672,0.5275,' onyx'
0.059,0.0453,0.0293,0.023,0.0209,0.0238,0.0257,0.0305,0.0325,0.033,0.023,0.0217,0.0184,0.023,0.031,0.0435,0.0559,0.4594,' onyx'
0.0701,0.0529,0.0282,0.0204,0.0165,0.0158,0.0171,0.0187,0.0202,0.022,0.015,0.0147,0.0145,0.0189,0.0278,0.0492,0.0633,0.5138,' onyx'
0.0625,0.0417,0.0338,0.025,0.0235,0.0244,0.0256,0.0299,0.0317,0.0333,0.0253,0.0246,0.0234,0.0279,0.0353,0.0391,0.0606,0.4317,' onyx'
0.0668,0.0524,0.0237,0.0165,0.0142,0.0159,0.017,0.022,0.0243,0.0245,0.0191,0.0174,0.0143,0.0171,0.0242,0.0476,0.061,0.521,' onyx'
0.0579,0.0425,0.0264,0.0189,0.0164,0.0205,0.0286,0.0434,0.0489,0.0447,0.027,0.0222,0.0176,0.02,0.0263,0.0392,0.0539,0.4445,' onyx'
0.0619,0.0492,0.0255,0.0182,0.0154,0.0169,0.0205,0.027,0.0341,0.0323,0.0246,0.0205,0.0182,0.0202,0.0265,0.0437,0.0573,0.4869,' onyx'
0.0553,0.0515,0.0269,0.0169,0.0142,0.0171,0.0201,0.0317,0.0432,0.0361,0.0215,0.0194,0.0164,0.0185,0.0264,0.0471,0.0552,0.4816,' onyx'
0.061,0.0513,0.025,0.0151,0.012,0.0127,0.0184,0.031,0.0442,0.0366,0.0194,0.0161,0.013,0.0166,0.0227,0.0481,0.0592,0.4966,' onyx'
0.0662,0.0534,0.0243,0.0153,0.0138,0.015,0.0179,0.0247,0.031,0.0265,0.0164,0.0138,0.0123,0.0155,0.0252,0.0499,0.0633,0.5146,' onyx'
0.059,0.0504,0.0238,0.0168,0.0154,0.0164,0.0208,0.0257,0.0312,0.0311,0.0229,0.0193,0.0168,0.0197,0.0275,0.0426,0.0575,0.5022,' onyx'
0.0596,0.0494,0.0243,0.0164,0.0157,0.0163,0.0194,0.0224,0.027,0.029,0.0225,0.021,0.0179,0.0211,0.0275,0.0425,0.0558,0.5114,' onyx'
0.0566,0.0489,0.0233,0.0151,0.0138,0.015,0.0187,0.0239,0.0311,0.0308,0.0232,0.0203,0.0172,0.0183,0.0257,0.0432,0.055,0.5188,' onyx'
0.0642,0.0511,0.0246,0.0144,0.0118,0.012,0.0133,0.0137,0.0143,0.0181,0.013,0.014,0.0141,0.0185,0.0305,0.0487,0.0739,0.5488,' onyx'
0.056,0.0455,0.0293,0.0205,0.0172,0.0186,0.0179,0.0201,0.0201,0.0251,0.0219,0.024,0.0215,0.0263,0.0343,0.0436,0.0726,0.4848,' onyx'
0.0644,0.0554,0.0231,0.0129,0.0101,0.0105,0.0107,0.0121,0.0137,0.0167,0.0128,0.0127,0.0128,0.0176,0.0283,0.0504,0.0782,0.5564,' onyx'
0.0546,0.0475,0.0228,0.0157,0.0124,0.014,0.017,0.0236,0.0266,0.027,0.0196,0.0167,0.0143,0.0189,0.0289,0.0463,0.0672,0.526,' onyx'
0.0456,0.0415,0.0223,0.0164,0.0155,0.0208,0.0273,0.0351,0.0397,0.0414,0.0292,0.0228,0.0188,0.0191,0.0265,0.0418,0.0563,0.4789,' onyx'
0.0569,0.0502,0.0179,0.0119,0.0111,0.0144,0.0204,0.0294,0.037,0.0328,0.0202,0.0156,0.012,0.0143,0.0198,0.0478,0.0619,0.5254,' onyx'
0.0585,0.047,0.0253,0.0184,0.0166,0.0187,0.0248,0.0364,0.0458,0.0369,0.0233,0.0184,0.0146,0.0171,0.0226,0.0442,0.0561,0.4743,' onyx'
0.0528,0.0456,0.0234,0.0163,0.0145,0.018,0.0246,0.0357,0.0436,0.0411,0.0262,0.0213,0.0157,0.0182,0.0227,0.0425,0.0518,0.4852,' onyx'
0.0628,0.0524,0.0262,0.0179,0.0146,0.0155,0.0162,0.0182,0.0192,0.0214,0.0171,0.0178,0.017,0.0207,0.0274,0.0469,0.064,0.5237,' onyx'
0.0548,0.0461,0.0268,0.0208,0.019,0.0189,0.0214,0.0252,0.0292,0.0298,0.022,0.021,0.0181,0.0208,0.028,0.0419,0.0579,0.4975,' onyx'
0.0615,0.0498,0.0286,0.018,0.0166,0.0166,0.0185,0.0212,0.0214,0.0234,0.0164,0.0163,0.0149,0.0194,0.0281,0.0487,0.062,0.5176,' onyx'
0.0626,0.0532,0.025,0.0168,0.0143,0.0146,0.0148,0.0157,0.0172,0.019,0.0139,0.0145,0.0143,0.0169,0.0239,0.0488,0.0642,0.5494,' onyx'
0.0653,0.0534,0.0265,0.017,0.0143,0.0136,0.0138,0.0148,0.0157,0.0175,0.0133,0.014,0.0138,0.0187,0.0285,0.0491,0.0652,0.5445,' onyx'
0.057,0.0488,0.0276,0.0186,0.0169,0.0182,0.0213,0.025,0.0274,0.029,0.0233,0.0206,0.0182,0.0204,0.0267,0.0446,0.058,0.4974,' onyx'
0.0609,0.0501,0.0286,0.0199,0.0182,0.0168,0.0191,0.0214,0.022,0.0225,0.0184,0.0177,0.0173,0.0197,0.0287,0.0452,0.0616,0.5112,' onyx'
0.0635,0.0502,0.0255,0.017,0.0157,0.016,0.0164,0.0192,0.0211,0.0218,0.0177,0.0177,0.0169,0.0197,0.0266,0.0464,0.0599,0.5278,' onyx'
0.0684,0.0522,0.0231,0.0177,0.0138,0.0135,0.0158,0.0204,0.0241,0.0248,0.0175,0.0181,0.0149,0.0201,0.0241,0.0476,0.0617,0.5215,' onyx'
0.0534,0.046,0.0235,0.0171,0.0148,0.0189,0.0253,0.0372,0.0508,0.04,0.0242,0.0191,0.0145,0.0178,0.0237,0.043,0.058,0.4718,' onyx'
0.0622,0.0531,0.0224,0.0141,0.0119,0.013,0.0186,0.0283,0.0443,0.0346,0.0225,0.0162,0.0121,0.0133,0.0191,0.0462,0.0598,0.5074,' onyx'
0.0569,0.0479,0.0272,0.0169,0.0154,0.0183,0.0226,0.0365,0.0467,0.0382,0.0238,0.019,0.0151,0.0186,0.0254,0.0446,0.0545,0.4716,' onyx'
0.0641,0.0528,0.0248,0.0165,0.0149,0.0158,0.0194,0.0241,0.028,0.0266,0.0177,0.0154,0.014,0.0185,0.0256,0.0486,0.0632,0.5091,' onyx'
0.0559,0.0461,0.0245,0.0171,0.0165,0.0189,0.0229,0.0311,0.0386,0.0346,0.0197,0.017,0.014,0.0164,0.0217,0.0478,0.0605,0.4957,' onyx'
0.0559,0.0436,0.0293,0.0204,0.0195,0.0216,0.0258,0.0365,0.046,0.0417,0.0277,0.0224,0.0192,0.0207,0.0274,0.0421,0.0528,0.4468,' onyx'
0.0594,0.0482,0.0255,0.0179,0.0164,0.0185,0.0231,0.0301,0.038,0.0348,0.023,0.0191,0.0173,0.0192,0.026,0.045,0.0575,0.4802,' onyx'
0.0561,0.047,0.0238,0.0173,0.0166,0.0184,0.0243,0.0314,0.0398,0.0339,0.0213,0.0186,0.0149,0.0163,0.0226,0.048,0.0607,0.4881,' onyx'
0.0517,0.0405,0.0272,0.0208,0.019,0.0217,0.0221,0.025,0.0265,0.0305,0.0239,0.0234,0.0231,0.0258,0.0325,0.044,0.0613,0.4801,' keivan'
0.054,0.0454,0.0271,0.0189,0.0165,0.0176,0.0186,0.0205,0.0193,0.0217,0.0176,0.0176,0.0162,0.0201,0.0324,0.0489,0.064,0.5226,' keivan'
0.0528,0.0459,0.0266,0.0193,0.0167,0.0182,0.0194,0.0196,0.0199,0.0228,0.0174,0.0186,0.0167,0.0207,0.0317,0.0487,0.0634,0.5206,' keivan'
0.0591,0.0464,0.0279,0.0189,0.0153,0.0156,0.0154,0.0157,0.0161,0.0199,0.014,0.0165,0.0155,0.0207,0.0302,0.05,0.0668,0.5351,' keivan'
0.0577,0.0464,0.0282,0.0202,0.0166,0.0172,0.0179,0.0194,0.0197,0.0229,0.0169,0.0165,0.0164,0.0204,0.0303,0.0476,0.0656,0.5193,' keivan'
0.059,0.0471,0.0253,0.0199,0.0159,0.0165,0.0172,0.0181,0.0176,0.0209,0.0164,0.018,0.0171,0.0198,0.0296,0.0503,0.0645,0.5258,' keivan'
0.0583,0.0461,0.0269,0.0201,0.0166,0.017,0.0158,0.0159,0.0155,0.0206,0.0155,0.0175,0.0172,0.0213,0.0319,0.0492,0.0669,0.5267,' keivan'
0.0567,0.0484,0.0272,0.0186,0.015,0.0151,0.0161,0.0157,0.0164,0.0202,0.0148,0.0162,0.0157,0.0197,0.031,0.0528,0.0671,0.5324,' keivan'
0.0627,0.0509,0.0261,0.0166,0.0135,0.0123,0.0108,0.01,0.0108,0.0144,0.0102,0.0129,0.0129,0.0177,0.0276,0.0553,0.069,0.5655,' keivan'
0.0551,0.0473,0.0254,0.0181,0.0142,0.0154,0.0148,0.0168,0.0173,0.0201,0.0159,0.0174,0.0163,0.0209,0.0324,0.0508,0.0674,0.5336,' keivan'
0.057,0.0455,0.0264,0.0183,0.0152,0.0167,0.0166,0.0197,0.0194,0.022,0.0174,0.0187,0.0168,0.022,0.0302,0.0498,0.0643,0.523,' keivan'
0.0496,0.0401,0.0268,0.0217,0.0196,0.0221,0.0246,0.0276,0.0293,0.0319,0.0253,0.0264,0.022,0.0248,0.0296,0.0432,0.0589,0.4759,' keivan'
0.0537,0.0466,0.0261,0.0175,0.0147,0.0178,0.0188,0.0216,0.0208,0.0231,0.0183,0.0195,0.0184,0.0229,0.0314,0.0494,0.0627,0.5158,' keivan'
0.0524,0.0437,0.0286,0.0213,0.019,0.0205,0.0226,0.0261,0.0268,0.0293,0.0247,0.0239,0.0229,0.0245,0.0317,0.0442,0.0613,0.4757,' keivan'
0.0499,0.0449,0.0245,0.0187,0.0177,0.0197,0.022,0.027,0.0281,0.0324,0.0227,0.0226,0.0199,0.0229,0.027,0.0467,0.0592,0.4933,' keivan'
0.0535,0.0464,0.0285,0.022,0.0178,0.0176,0.0195,0.0221,0.0222,0.0258,0.0217,0.0221,0.021,0.024,0.0315,0.0462,0.0646,0.4925,' keivan'
0.0557,0.0467,0.0261,0.0192,0.0172,0.0191,0.0183,0.0218,0.0204,0.0235,0.0182,0.0176,0.0157,0.0199,0.0285,0.0492,0.063,0.519,' keivan'
0.0554,0.0466,0.0277,0.0201,0.0168,0.0169,0.0168,0.0181,0.0191,0.023,0.0213,0.0217,0.0212,0.0264,0.0321,0.0464,0.0671,0.5023,' keivan'
0.0489,0.042,0.0275,0.0229,0.0216,0.0221,0.0225,0.026,0.027,0.0305,0.0257,0.0254,0.0224,0.0248,0.0312,0.0446,0.0588,0.4752,' keivan'
0.0527,0.0438,0.0261,0.0208,0.0187,0.0199,0.0205,0.0219,0.0217,0.0264,0.0198,0.0215,0.0193,0.0227,0.0321,0.0466,0.0629,0.5017,' keivan'
0.0818,0.0644,0.0186,0.0118,0.0093,0.0073,0.0061,0.0068,0.0067,0.0094,0.0064,0.0084,0.0099,0.0156,0.027,0.0529,0.0758,0.5809,' keivan'
0.0766,0.0601,0.0186,0.0116,0.0095,0.0091,0.0082,0.0096,0.0103,0.0136,0.0102,0.0119,0.0115,0.0165,0.0247,0.0528,0.0694,0.575,' keivan'
0.0655,0.0578,0.0202,0.0124,0.0096,0.009,0.0087,0.0085,0.0095,0.0136,0.0095,0.0125,0.0124,0.0174,0.0286,0.0537,0.0697,0.5806,' keivan'
0.0779,0.064,0.0155,0.008,0.0059,0.0058,0.0055,0.0063,0.0077,0.0109,0.0073,0.0098,0.0104,0.0151,0.0248,0.0538,0.0679,0.6026,' keivan'
0.0825,0.0637,0.0218,0.0126,0.0093,0.0076,0.0063,0.0067,0.0067,0.0098,0.0061,0.0077,0.0073,0.0125,0.0213,0.0577,0.0785,0.5811,' keivan'
0.0865,0.069,0.0142,0.0083,0.0061,0.0054,0.0051,0.0055,0.0067,0.0099,0.0058,0.0075,0.008,0.0135,0.0204,0.0556,0.0738,0.5978,' keivan'
0.0856,0.0648,0.0199,0.0127,0.0093,0.0078,0.0072,0.0082,0.0084,0.011,0.0071,0.0097,0.0091,0.0133,0.0218,0.0549,0.0749,0.5733,' keivan'
0.031,0.028,0.0247,0.0279,0.0292,0.0418,0.0532,0.0689,0.0729,0.0666,0.0455,0.0368,0.0303,0.0323,0.0316,0.0245,0.0445,0.3095,' keivan'
0.0333,0.0296,0.0256,0.0265,0.0285,0.0388,0.048,0.0644,0.0614,0.0576,0.0406,0.0333,0.0257,0.0311,0.0332,0.0284,0.0488,0.3442,' keivan'
0.0339,0.0342,0.023,0.0228,0.0217,0.0299,0.038,0.0503,0.0546,0.0541,0.036,0.0291,0.0237,0.0297,0.0362,0.0356,0.0507,0.3956,' keivan'
0.0354,0.0325,0.0225,0.0231,0.0227,0.0319,0.0419,0.055,0.058,0.056,0.0389,0.0327,0.0276,0.0316,0.0322,0.0309,0.0482,0.3779,' keivan'
0.0644,0.0587,0.0204,0.0129,0.0099,0.0096,0.0085,0.0097,0.0111,0.0134,0.0107,0.0124,0.0124,0.0175,0.0262,0.0545,0.0704,0.5764,' keivan'
0.0352,0.0289,0.0223,0.0252,0.0273,0.0367,0.046,0.0589,0.0602,0.06,0.0451,0.0389,0.0306,0.0341,0.0375,0.0309,0.0556,0.3257,' keivan'
0.0452,0.0365,0.0272,0.0293,0.0285,0.0316,0.0364,0.0434,0.0432,0.0418,0.0285,0.0256,0.0237,0.0264,0.035,0.0376,0.0542,0.405,' keivan'
0.0812,0.0653,0.0191,0.0119,0.0087,0.0073,0.0069,0.006,0.0069,0.01,0.0061,0.0083,0.0095,0.0152,0.0269,0.053,0.0749,0.5818,' keivan'
0.0668,0.0566,0.0198,0.0136,0.0099,0.0091,0.0078,0.0096,0.0107,0.0133,0.0097,0.0124,0.0121,0.0177,0.026,0.0542,0.0714,0.5787,' keivan'
0.0623,0.0554,0.0202,0.0132,0.0113,0.0109,0.0104,0.0112,0.013,0.0168,0.0124,0.0154,0.0153,0.0188,0.0278,0.0529,0.0676,0.5641,' keivan'
0.067,0.0554,0.0186,0.0143,0.0124,0.0117,0.0116,0.013,0.0151,0.0171,0.0129,0.0149,0.0156,0.0195,0.0288,0.0525,0.0671,0.5515,' keivan'
0.0829,0.0651,0.0166,0.0101,0.0076,0.0061,0.0058,0.0063,0.0064,0.0101,0.0068,0.0093,0.0089,0.0152,0.0263,0.0555,0.0714,0.5888,' keivan'
0.0638,0.0552,0.0198,0.0119,0.009,0.0085,0.0086,0.0084,0.01,0.0125,0.0085,0.0113,0.0114,0.0169,0.0276,0.0582,0.0741,0.5835,' keivan'
0.0777,0.0664,0.0142,0.0087,0.0057,0.0052,0.0052,0.0066,0.0076,0.0097,0.0071,0.0093,0.0094,0.0131,0.0238,0.0565,0.0679,0.6048,' keivan'
