@relation mix4sci

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' Class' {' rossolevanto',' onyx',' keivan',' black'}

@data
181.57,12.59,-0.82,3.84,0.02,-5.61,0.14,0.69,0.93,0.71,' onyx'
163.69,14,-0.77,3.57,0.02,-5.77,0.11,0.68,0.94,0.78,' onyx'
159.65,22.59,-0.26,3.65,0.01,-6.39,0.12,0.58,0.94,0.89,' onyx'
159.7,24.47,-0.31,2.01,0.01,-6.47,0.14,0.53,0.93,0.89,' onyx'
136.26,20.72,-0.21,2.62,0.01,-6.4,0.18,0.53,0.91,0.82,' onyx'
161.01,24.78,-0.55,2.49,0.01,-6.55,0.19,0.51,0.91,0.86,' onyx'
164.55,24.8,0.45,3.83,0.01,-6.6,0.18,0.53,0.92,0.86,' onyx'
190.83,14.73,-0.86,4.13,0.02,-5.81,0.14,0.61,0.93,0.79,' onyx'
166.92,23.5,-0.19,4.05,0.01,-6.55,0.23,0.51,0.9,0.81,' onyx'
142.39,30.59,0.48,2.74,0.01,-6.9,0.31,0.41,0.87,0.84,' onyx'
152.7,22.63,0.24,3.34,0.01,-6.52,0.21,0.52,0.9,0.82,' onyx'
127.32,28.74,0.11,2.33,0.01,-6.83,0.17,0.47,0.93,0.91,' onyx'
138.62,37.52,0.41,2.06,0.01,-7.09,0.23,0.41,0.9,0.92,' onyx'
135.27,28.61,0.32,4.12,0.01,-6.8,0.22,0.49,0.91,0.88,' onyx'
174.34,5.19,0.62,4.2,0.06,-4.37,0.01,0.99,1,0.59,' keivan'
141.93,4.43,-0.36,2.51,0.07,-4.17,0.01,0.99,1,0.49,' keivan'
141.93,4.43,-0.36,2.51,0.07,-4.16,0.01,0.99,1,0.46,' keivan'
135.41,4.69,-0.24,1.93,0.06,-4.26,0.04,0.94,0.98,0.59,' keivan'
151.85,8.38,-0.61,2.78,0.04,-5.01,0.05,0.82,0.97,0.81,' keivan'
155.42,4.3,-0.51,3.2,0.07,-4.1,0.08,0.82,0.96,0.69,' keivan'
146.85,6.63,-0.32,2.87,0.04,-4.74,0.01,0.98,0.99,0.47,' keivan'
150.16,4.31,-0.29,7.13,0.08,-4.03,0.01,0.98,0.99,0.63,' keivan'
139.75,5.98,-0.31,4.24,0.05,-4.52,0.03,0.95,0.98,0.57,' keivan'
143.85,4.04,-0.15,3.74,0.08,-3.99,0,0.99,1,0.56,' keivan'
147.66,5.23,-0.28,2.94,0.06,-4.4,0.01,0.99,1,0.61,' keivan'
167.04,13.55,-0.91,2.72,0.03,-5.37,0.01,0.78,0.99,0.96,' keivan'
146.04,5.13,-0.14,5.34,0.06,-4.34,0.01,0.98,1,0.63,' keivan'
182.26,5.84,0.91,5.14,0.06,-4.51,0.02,0.93,0.99,0.8,' keivan'
149.78,9.94,-1.49,5.69,0.05,-4.98,0.05,0.85,0.97,0.78,' keivan'
177.16,6.03,0.7,4.82,0.05,-4.58,0.01,0.98,1,0.8,' keivan'
144.39,10.56,-1.58,5.61,0.04,-5.04,0.02,0.89,0.99,0.89,' keivan'
171.12,5.72,-0.12,1.87,0.05,-4.54,0.01,0.97,0.99,0.64,' keivan'
167.6,14.29,-1.18,3.43,0.04,-5.29,0.02,0.79,0.99,0.97,' keivan'
146.32,5.59,-0.31,2.43,0.05,-4.47,0,0.99,1,0.58,' keivan'
185.91,15.18,-1.29,5.78,0.02,-5.8,0.27,0.53,0.87,0.63,' keivan'
204.59,14.51,-0.99,3.73,0.02,-5.71,0.14,0.73,0.93,0.67,' keivan'
214.9,7.75,-1.73,10.84,0.05,-4.78,0.08,0.85,0.96,0.63,' keivan'
202.29,16.19,-1.34,6.07,0.02,-5.89,0.19,0.7,0.91,0.68,' keivan'
211.91,11.23,-1.65,7.04,0.04,-5.25,0.16,0.79,0.93,0.47,' keivan'
201.85,15.08,-1.09,5.02,0.02,-5.83,0.26,0.69,0.88,0.47,' keivan'
201.56,18.02,-1.09,3.96,0.02,-6.01,0.2,0.66,0.91,0.71,' keivan'
200.71,10.16,-1.4,8.62,0.03,-5.19,0.04,0.82,0.98,0.86,' keivan'
202.9,9.97,-1.83,10.94,0.04,-5.08,0.04,0.86,0.98,0.84,' keivan'
206.51,8.33,-2.5,20.05,0.04,-4.83,0.03,0.94,0.99,0.72,' keivan'
200.75,10.51,-2.93,23.16,0.04,-5,0.05,0.84,0.98,0.83,' keivan'
206.33,9.87,-1.32,8.19,0.03,-5.21,0.07,0.89,0.97,0.6,' keivan'
206.74,9.45,-2.11,14.98,0.04,-4.95,0.03,0.91,0.98,0.8,' keivan'
203.67,9.98,-1.66,11.55,0.03,-5.14,0.05,0.87,0.98,0.79,' keivan'
185.93,15.22,-1.28,5.77,0.02,-5.81,0.27,0.53,0.87,0.63,' keivan'
206.56,9.75,-1.25,7.71,0.03,-5.2,0.07,0.89,0.97,0.58,' keivan'
212.32,9.85,-0.58,3.7,0.03,-5.29,0.07,0.83,0.96,0.72,' keivan'
193.26,15.4,-0.74,3.96,0.02,-5.91,0.11,0.64,0.95,0.84,' keivan'
199.17,13.85,-1.02,5.34,0.02,-5.74,0.19,0.68,0.91,0.6,' keivan'
215.46,8.32,-1.47,13.67,0.05,-4.72,0.07,0.86,0.96,0.65,' keivan'
